maxThreads,minSpareThreads,executorTerminationTimeoutMillis,connectionTimeout,maxConnections,maxKeepAliveRequests,acceptorThreadCount,asyncTimeout,acceptCount,socketBuffer,processorCache,keepAliveTimeout,PERF
127.0,50.0,763.0,38000.0,18587.0,1.0,1.0,31110.0,44.0,415.0,405.0,31.0,1132.4575
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,21745.0,50.0,383.0,58.0,45.0,1204.6492
1.0,14.0,4584.0,0.0,50000.0,29.0,7.0,43422.0,45.0,248.0,18.0,49.0,1182.3319
280.0,32.0,6582.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,21.0,1155.2594
127.0,50.0,763.0,38000.0,18587.0,1.0,1.0,31110.0,44.0,415.0,405.0,31.0,1132.4575
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,32912.0,50.0,383.0,58.0,45.0,1212.3374
1.0,14.0,4584.0,0.0,50000.0,29.0,7.0,43422.0,45.0,248.0,18.0,49.0,1182.3319
280.0,32.0,6669.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,30.0,1157.4479
127.0,50.0,0.0,38000.0,18587.0,1.0,1.0,31110.0,44.0,413.0,405.0,31.0,1141.3533
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,32912.0,50.0,383.0,58.0,45.0,1212.3374
1.0,14.0,4584.0,0.0,50000.0,71.0,7.0,33741.0,45.0,187.0,18.0,49.0,1191.7749
280.0,32.0,6669.0,9719.0,22758.0,200.0,7.0,28774.0,16.0,500.0,212.0,30.0,1157.4479
127.0,50.0,0.0,38000.0,18587.0,1.0,1.0,31110.0,44.0,413.0,405.0,31.0,1141.3533
125.0,48.0,5010.0,22286.0,44521.0,184.0,7.0,11794.0,20.0,308.0,48.0,50.0,1253.8427
267.0,31.0,2525.0,9635.0,8738.0,156.0,10.0,32912.0,50.0,383.0,58.0,45.0,1212.3374
