innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,PERF
3058814.0,29.0,1.0,1.0,44168089.0,27267558.0,61521082.0,36.0,45479.0,18844415.0,180.35
1404854.0,44.0,1.0,0.0,40726796.0,113573351.0,85335498.0,21.0,79596.0,47899344.0,178.06
419627.0,49.0,0.0,0.0,20085262.0,2512164.0,27870043.0,37.0,30053.0,28712799.0,181.05
1798309.0,9.0,1.0,2.0,128860678.0,105038181.0,73847391.0,5.0,110401.0,30546409.0,178.12
2818470.0,22.0,1.0,2.0,67452671.0,83564403.0,101205145.0,41.0,6369.0,15579729.0,183.86
2385036.0,41.0,1.0,0.0,125371463.0,58493019.0,117699706.0,6.0,2555.0,50257007.0,179.03
3047256.0,2.0,1.0,2.0,66049194.0,143961389.0,8323421.0,32.0,73254.0,65515188.0,181.94
2565270.0,23.0,1.0,2.0,12896667.0,103144268.0,88183535.0,48.0,1935.0,58936686.0,181.46
2616956.0,41.0,1.0,1.0,73029993.0,1854466.0,76688018.0,20.0,64413.0,27403852.0,187.61
307552.0,25.0,0.0,2.0,139925934.0,73931512.0,60467548.0,44.0,95874.0,26577256.0,180.59
384543.0,13.0,1.0,2.0,30777297.0,10899125.0,53162959.0,26.0,66858.0,37600545.0,184.14
328827.0,18.0,0.0,1.0,87486850.0,80428434.0,61016839.0,26.0,89913.0,35676087.0,179.75
1482768.0,35.0,1.0,2.0,60309487.0,13533743.0,27802485.0,26.0,30740.0,45832597.0,183.72
983728.0,13.0,0.0,0.0,38887894.0,123169879.0,38353899.0,15.0,125487.0,14986929.0,183.41
1287634.0,32.0,1.0,2.0,82860244.0,31435722.0,118293648.0,7.0,62558.0,11580528.0,183.86
2938614.0,33.0,0.0,1.0,15399761.0,133113436.0,109907687.0,8.0,90517.0,16667720.0,183.56
304859.0,12.0,0.0,0.0,69178160.0,59506376.0,16733005.0,17.0,16753.0,63254344.0,183.64
802302.0,15.0,1.0,1.0,30486910.0,34999334.0,76015067.0,44.0,58046.0,38739099.0,187.67
3119927.0,43.0,1.0,2.0,55600997.0,51824184.0,150181973.0,10.0,77865.0,35336502.0,186.22
832287.0,38.0,0.0,2.0,135920360.0,26025735.0,87920000.0,18.0,86481.0,2991184.0,178.77
2516602.0,0.0,1.0,0.0,97742101.0,84617472.0,131978833.0,47.0,30621.0,63216561.0,185.16
322370.0,50.0,1.0,1.0,127577614.0,130714430.0,97712254.0,26.0,128711.0,48569717.0,185.92
2707814.0,34.0,0.0,1.0,82775865.0,26425713.0,147940327.0,32.0,1946.0,65850303.0,183.67
2933054.0,34.0,0.0,2.0,135832126.0,94693548.0,143333110.0,21.0,41248.0,39212773.0,175.84
2192106.0,30.0,1.0,2.0,113255436.0,86008326.0,121471589.0,25.0,23455.0,43053450.0,190.03
322926.0,45.0,1.0,2.0,56574678.0,79928599.0,36639718.0,21.0,63084.0,61292281.0,185.41
1463529.0,2.0,1.0,1.0,134453531.0,118022126.0,53761588.0,42.0,62752.0,24572199.0,179.81
2026045.0,27.0,1.0,2.0,82800937.0,10729573.0,2399242.0,21.0,7079.0,64754442.0,181.31
1665550.0,38.0,0.0,2.0,29105189.0,125111288.0,118177295.0,15.0,26521.0,44958921.0,181.0
2767098.0,24.0,0.0,2.0,88280762.0,10000061.0,104072526.0,12.0,46857.0,4604279.0,182.22
382522.0,48.0,0.0,1.0,57953893.0,17650849.0,12040316.0,29.0,60093.0,30588347.0,184.36
812379.0,37.0,1.0,1.0,94711433.0,117335676.0,101045877.0,44.0,82994.0,4767729.0,186.75
3114404.0,32.0,1.0,0.0,101889953.0,14427936.0,75215604.0,28.0,76497.0,19929443.0,185.53
1741401.0,10.0,1.0,0.0,121837091.0,57965034.0,148793732.0,9.0,4307.0,9887363.0,177.54
2821538.0,37.0,0.0,0.0,28465265.0,39369299.0,25712157.0,9.0,4731.0,62220590.0,184.1
2692770.0,25.0,1.0,2.0,70617230.0,54367916.0,26998522.0,20.0,115527.0,31038745.0,186.19
2472129.0,42.0,1.0,2.0,145267764.0,105458445.0,44598449.0,5.0,57455.0,4272349.0,193.44
1799960.0,36.0,0.0,2.0,148065374.0,138816424.0,27195771.0,8.0,118301.0,66426056.0,179.48
3093859.0,6.0,0.0,0.0,112949168.0,2062910.0,62360163.0,30.0,9661.0,23969696.0,180.47
701500.0,19.0,1.0,2.0,67240972.0,112277352.0,55986367.0,50.0,38252.0,49851115.0,181.26
2100050.0,23.0,0.0,0.0,58038046.0,126943607.0,83733481.0,36.0,10249.0,53693354.0,184.73
811789.0,12.0,0.0,2.0,66571737.0,92976955.0,17287628.0,47.0,95683.0,6185334.0,183.97
1358429.0,37.0,0.0,0.0,6896529.0,120059876.0,99378517.0,5.0,25417.0,54011859.0,181.66
