STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,237
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,240.58
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,245.69
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,253.73
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,250.79
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,242.44
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,253.98
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,242.41
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,247.07
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,249.25
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,248.4
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,241.72
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,242.96
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,242.81
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,250.86
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,234.87
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,237.42
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,229.66
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,237.37
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,253.81
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,248.1
