no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,PERF
1.0,1.0,1.0,1.0,0.0,0.0,1.0,206.0,5.0,4505.86
1.0,1.0,1.0,1.0,0.0,1.0,0.0,86.0,10.0,4505.69
0.0,1.0,0.0,1.0,0.0,0.0,1.0,44.0,9.0,4499.04
0.0,1.0,1.0,1.0,0.0,0.0,0.0,220.0,9.0,4495.14
1.0,1.0,1.0,1.0,0.0,0.0,1.0,196.0,9.0,4487.92
0.0,1.0,1.0,0.0,0.0,0.0,1.0,116.0,2.0,4452.48
1.0,1.0,0.0,0.0,0.0,1.0,0.0,174.0,2.0,4442.99
0.0,1.0,0.0,0.0,0.0,1.0,1.0,239.0,2.0,4441.85
0.0,1.0,1.0,0.0,0.0,1.0,1.0,91.0,4.0,4441.6
1.0,1.0,1.0,0.0,0.0,0.0,0.0,146.0,3.0,4441.52
0.0,1.0,1.0,0.0,0.0,1.0,1.0,167.0,5.0,4435.88
1.0,1.0,1.0,0.0,0.0,1.0,1.0,142.0,6.0,4435.51
1.0,1.0,0.0,0.0,0.0,1.0,0.0,83.0,3.0,4434.78
0.0,1.0,1.0,0.0,0.0,0.0,1.0,131.0,4.0,4428.98
0.0,1.0,1.0,0.0,0.0,1.0,1.0,168.0,6.0,4426.11
1.0,1.0,1.0,0.0,0.0,1.0,1.0,97.0,8.0,4423.17
0.0,1.0,0.0,0.0,0.0,1.0,1.0,44.0,3.0,4420.68
1.0,1.0,1.0,0.0,0.0,1.0,0.0,212.0,9.0,4419.39
0.0,1.0,1.0,0.0,0.0,0.0,1.0,164.0,5.0,4418.31
0.0,1.0,1.0,0.0,0.0,0.0,0.0,51.0,6.0,4410.21
0.0,1.0,0.0,0.0,0.0,1.0,1.0,120.0,9.0,4401.45
0.0,1.0,1.0,0.0,0.0,0.0,0.0,241.0,10.0,4399.46
1.0,1.0,0.0,0.0,0.0,1.0,1.0,246.0,10.0,4398.94
1.0,1.0,0.0,0.0,0.0,0.0,0.0,218.0,5.0,4398.52
1.0,1.0,0.0,0.0,0.0,0.0,0.0,112.0,5.0,4393.18
0.0,1.0,0.0,0.0,0.0,0.0,0.0,110.0,8.0,4383.76
0.0,1.0,0.0,0.0,0.0,0.0,0.0,119.0,10.0,4375.03
1.0,0.0,1.0,1.0,0.0,1.0,0.0,250.0,1.0,3996.92
1.0,0.0,0.0,1.0,0.0,1.0,0.0,196.0,1.0,3962.46
1.0,0.0,1.0,0.0,0.0,1.0,1.0,90.0,1.0,3960.16
1.0,0.0,0.0,1.0,0.0,0.0,1.0,196.0,1.0,3955.32
0.0,0.0,0.0,1.0,0.0,0.0,0.0,157.0,1.0,3893.81
0.0,0.0,1.0,0.0,0.0,0.0,1.0,216.0,1.0,3877.26
0.0,0.0,1.0,0.0,0.0,1.0,0.0,64.0,1.0,3867.88
0.0,0.0,0.0,0.0,0.0,1.0,0.0,204.0,1.0,3840.99
1.0,0.0,1.0,1.0,0.0,1.0,1.0,102.0,6.0,3807.41
1.0,0.0,0.0,1.0,0.0,1.0,1.0,115.0,7.0,3803.42
1.0,0.0,0.0,1.0,0.0,1.0,0.0,173.0,10.0,3803.33
1.0,0.0,0.0,1.0,0.0,1.0,1.0,156.0,9.0,3801.67
1.0,0.0,0.0,1.0,0.0,1.0,1.0,178.0,9.0,3801.67
1.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,4.0,3800.89
1.0,0.0,0.0,1.0,0.0,0.0,1.0,122.0,9.0,3798.25
1.0,0.0,0.0,1.0,0.0,0.0,1.0,135.0,7.0,3796.47
1.0,0.0,1.0,1.0,0.0,0.0,1.0,242.0,7.0,3792.78
0.0,0.0,0.0,1.0,0.0,1.0,0.0,102.0,7.0,3791.3
1.0,0.0,1.0,1.0,0.0,0.0,0.0,82.0,5.0,3790.08
1.0,0.0,1.0,1.0,0.0,0.0,1.0,81.0,9.0,3789.28
1.0,0.0,1.0,1.0,0.0,0.0,1.0,148.0,9.0,3787.08
0.0,0.0,1.0,1.0,0.0,1.0,1.0,230.0,2.0,3785.28
0.0,0.0,0.0,1.0,0.0,1.0,0.0,243.0,6.0,3784.3
0.0,0.0,0.0,1.0,0.0,1.0,0.0,183.0,6.0,3784.3
0.0,0.0,0.0,1.0,0.0,0.0,1.0,218.0,9.0,3779.67
0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.0,8.0,3779.28
0.0,0.0,0.0,1.0,0.0,1.0,1.0,46.0,4.0,3778.25
0.0,0.0,1.0,1.0,0.0,1.0,1.0,155.0,7.0,3772.95
0.0,0.0,0.0,1.0,0.0,0.0,1.0,246.0,3.0,3772.34
0.0,0.0,1.0,1.0,0.0,0.0,1.0,156.0,5.0,3767.07
0.0,0.0,1.0,1.0,0.0,0.0,0.0,69.0,5.0,3766.54
0.0,0.0,1.0,1.0,0.0,1.0,1.0,86.0,10.0,3765.24
0.0,0.0,1.0,1.0,0.0,0.0,0.0,155.0,6.0,3764.25
