StartServers,MinSpareServers,MaxSpareServers,MaxRequestWorkers,MaxRequestsPerChild,PERF
9,7,20,41,30,4398.64
9,7,20,33,32,-1
7,1,18,51,24,3954.75
7,1,19,57,21,4250.77
10,1,20,84,24,-1
3,10,11,29,30,4305.24
9,1,20,81,12,-1
5,1,17,61,18,4351.03
10,1,20,62,24,-1
4,1,18,54,18,4196.99
10,1,20,72,8,-1
1,1,20,194,0,3926.82
7,1,20,33,26,4340.92
1,10,11,189,43,4259.95
6,1,20,31,20,4017.29
6,1,20,57,23,3742.22
4,10,11,67,23,4327.74
10,1,20,25,21,4332.7
6,1,20,49,19,-1
7,1,20,40,25,4077.08
7,1,20,40,27,-1
7,1,20,41,25,4186.4
3,9,11,50,31,4325.65
1,10,11,56,34,-1
4,8,11,48,30,4316.55
3,10,11,49,31,4577.4
1,10,11,56,33,-1
3,10,11,47,31,4281.27
4,8,12,48,30,3572.88
2,9,11,53,31,3593.87
2,10,11,51,32,-1
3,8,11,50,30,4312.43
6,10,12,35,23,3960.14
6,10,11,23,19,4169.04
6,10,11,21,18,4400.59
7,3,16,739,381,4280.79
7,3,16,739,381,-1
7,3,16,739,381,3957.85
7,3,16,739,381,3563.89
7,3,16,739,381,-1
7,3,16,739,381,4312.56
7,3,16,739,381,4131.59
7,3,16,739,381,3602.48
7,3,16,739,381,-1
7,3,16,739,381,-1
3,7,17,64,0,4229.77
2,7,18,71,0,-1
3,6,18,61,0,-1
3,6,17,59,0,3854.98
4,7,16,61,0,-1
3,7,18,70,0,3566.15
3,7,17,66,0,-1
3,7,17,68,0,4387.95
10,1,19,1,0,3965.69
9,1,20,1,0,4290.56
8,1,18,13,0,-1
9,1,17,1,24,3954.86
9,1,18,1,0,-1
10,10,20,175,31,3930.64
10,1,17,1,12,4389.91
8,1,16,1,0,4255.31
10,1,13,1,169,-1
3,3,20,1,102,3586.48
4,3,20,1,93,4341.28
3,4,19,1,99,-1
2,3,20,1,116,4437.55
3,4,19,1,107,-1
2,3,20,1,114,3984.04
4,5,18,1,93,3568.57
1,4,20,1,131,-1
4,4,19,1,96,4334.46
1,1,20,296,0,-1
2,1,18,121,0,4365.1
4,2,17,70,0,-1
2,1,18,127,0,4218.5
1,1,19,154,0,-1
2,1,18,103,0,3060.29
1,1,18,141,0,4342.67
2,1,18,111,0,-1
2,1,18,123,0,4286.89
2,1,17,114,0,3579.83
9,1,18,17,3,3590.67
7,2,17,10,27,-1
7,1,18,19,13,3919.41
7,1,18,27,0,-1
10,1,20,69,0,4151.65
7,1,18,16,16,-1
6,2,17,22,15,3286.71
7,1,18,19,12,-1
7,1,19,41,0,4002.02
6,1,18,33,0,4446.26
4,1,20,133,86,-1
3,10,11,1,0,4403.98
4,10,11,1,3,4295.26
6,1,20,1000,405,4270.51
3,9,11,1,27,-1
5,1,20,208,111,4131.82
4,10,11,1,0,-1
6,1,20,208,81,4629.95
5,3,18,81,48,4455.34
6,2,17,64,10,4349.21
6,3,17,29,0,3901.48
6,1,18,61,19,-1
5,2,18,1,0,4385.92
5,1,20,194,0,1054.97
6,1,18,71,8,4282.92
6,1,18,51,0,3857.52
6,1,17,78,25,4318.25
6,1,17,68,9,4310.54
6,2,17,73,20,-1
5,1,20,1,0,4307.71
7,1,20,1,0,4276.73
6,1,19,30,0,-1
4,1,18,1,0,3885.53
4,1,19,1,0,-1
6,1,18,33,0,4325.83
8,10,11,344,794,4308.47
6,1,20,4,0,4236.56
3,1,20,1,0,4183.9
6,1,20,1,0,3617.36
4,1,20,38,0,-1
5,1,20,38,5,4343.51
5,1,20,38,9,4310.21
2,1,20,36,0,-1
4,1,20,37,5,3971.42
2,1,20,35,0,4156.09
5,1,20,38,8,4389.14
3,1,19,36,2,-1
2,1,20,37,0,-1
6,1,11,85,0,4285.7
6,1,11,68,0,-1
6,1,11,66,0,3605.69
7,1,12,60,0,4302.49
6,1,11,88,0,4341.88
7,1,11,69,0,3915.37
6,1,12,73,0,-1
5,1,11,75,0,3719.68
