write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
5690,742,286,1026,57,0.5678730214443408,1064,1640,250,21,708,284,42,4138,14146,580,4286,66,3622,100,27,1000,2188,1832,1511,8329,304,1012,1210.50720252
4502,3652,243,1049,59,0.5466186109300242,603,1387,250,19,701,287,44,10090,14649,431,4208,88,2677,100,27,1000,2141,1857,1462,9420,363,971,1246.72734073
4626,2469,616,1064,50,0.4855989863354365,724,1564,250,21,703,306,48,7733,15257,456,3883,81,3115,100,28,1000,2144,1601,1507,9867,348,1275,1259.60448419
4647,2843,466,1058,54,0.5073911503412696,682,1494,250,20,702,298,46,8661,15000,446,4037,80,2901,100,28,1000,2139,1702,1492,9661,356,1146,1189.20204543
1111,2681,1758,1032,123,0.5463977719350506,440,10,250,21,633,315,51,42288,16067,179,6351,153,8125,4201,28,3341,2943,3761,1048,9635,609,2591,1279.91808524
4395,2601,1433,1003,117,0.6095138617711742,538,155,372,20,653,291,46,32975,15993,212,5408,153,6334,3117,26,3073,2723,3550,1048,9343,549,2090,1258.33647917
10571,4529,1296,982,102,0.7309054022520595,644,595,733,19,690,269,35,18565,15859,367,3549,108,2636,1267,19,3043,2359,3361,1048,9262,456,1037,1287.49839063
5709,4225,1662,1017,113,0.6398375646623075,498,288,437,21,659,298,43,31703,15963,296,5091,118,5416,2938,24,3352,2667,3633,1048,9536,539,1816,1224.43981878
2279,5467,2260,1067,120,0.5803624733713568,324,134,250,23,637,336,48,43447,16030,310,6244,94,7109,4341,28,3949,2926,3994,1048,10100,610,2288,1285.18185323
20,20,200,827,107,0.7828686393663505,100,10,1162,18,686,149,58,54821,8494,10,13218,122,64,1322,28,2710,1261,3341,1694,5611,590,200,1260.87504728
2392,20,200,802,109,0.7843604270244208,362,10,924,18,699,166,51,42956,9742,10,11670,103,64,729,24,2771,1329,3215,1557,5784,552,200,1257.70343353
20,20,200,732,108,0.8476822812665271,100,10,1352,22,653,83,60,90238,6082,10,17744,283,64,2392,28,2852,900,3378,2100,3924,668,200,1206.1271258
