write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,PERF
33482.0,158564.0,14719.0,796.0,1082.0,0.4305082992891922,8532.0,12669.0,2172.0,5.0,4512.0,2120.0,48.0,119650.0,197114.0,264.0,55124.0,1478.0,34003.0,2348.0,12.0,23674.0,22196.0,14421.0,2557.0,18027.0,2119.0,8820.0,1203.22464204
206326.0,224264.0,9504.0,12865.0,1343.0,0.11742657497301134,13788.0,11421.0,5134.0,13.0,6814.0,789.0,27.0,170746.0,12147.0,75.0,46077.0,167.0,29254.0,2555.0,16.0,14494.0,19601.0,19425.0,3005.0,162798.0,5827.0,3120.0,1293.32643559
215762.0,137229.0,12497.0,9517.0,385.0,0.3429658410291363,10514.0,768.0,8591.0,25.0,13375.0,2441.0,27.0,7694.0,137024.0,224.0,67811.0,376.0,10846.0,5357.0,23.0,15629.0,8414.0,23036.0,1232.0,118345.0,2776.0,11643.0,1280.73770492
155638.0,77854.0,6428.0,8529.0,728.0,0.7670785334140733,13348.0,12183.0,3427.0,23.0,6740.0,3507.0,5.0,88734.0,60547.0,771.0,77024.0,731.0,41607.0,2737.0,16.0,16302.0,22969.0,18011.0,1884.0,68117.0,5711.0,10724.0,1251.40783381
131153.0,166737.0,1120.0,4686.0,1581.0,0.5193083493208227,9833.0,3130.0,7061.0,5.0,2300.0,681.0,20.0,224978.0,206887.0,138.0,53415.0,1551.0,42441.0,20460.0,12.0,10776.0,2128.0,11965.0,2036.0,159983.0,2626.0,11342.0,1272.10278591
198206.0,106206.0,7097.0,8694.0,1038.0,0.12265238219921815,12363.0,10562.0,7976.0,17.0,8584.0,3064.0,32.0,188356.0,16134.0,887.0,56497.0,249.0,55658.0,14254.0,16.0,18924.0,16836.0,19896.0,2079.0,238913.0,3578.0,4046.0,1252.66190655
135821.0,87170.0,9201.0,4662.0,1684.0,0.15141730972052647,12433.0,8287.0,5732.0,14.0,13031.0,274.0,47.0,89358.0,178469.0,630.0,89898.0,657.0,34029.0,15468.0,21.0,15283.0,11444.0,5817.0,2032.0,143845.0,6900.0,11726.0,1210.21420791
133261.0,42241.0,11163.0,13357.0,572.0,0.6953464955045111,13774.0,10882.0,1254.0,5.0,12750.0,2902.0,2.0,142084.0,32442.0,823.0,44071.0,774.0,10803.0,22709.0,6.0,12778.0,18581.0,8878.0,2830.0,70564.0,7366.0,13310.0,1244.70998257
120990.0,104312.0,9253.0,4692.0,1232.0,0.3608757666357655,10247.0,2594.0,9688.0,14.0,11596.0,2834.0,32.0,233133.0,184252.0,774.0,60656.0,1735.0,9123.0,1053.0,9.0,21719.0,18252.0,8715.0,2446.0,62845.0,7780.0,5212.0,1250.78173859
107396.0,8701.0,13523.0,14443.0,1150.0,0.13327044807713073,9967.0,6326.0,261.0,12.0,6389.0,418.0,21.0,160727.0,229355.0,960.0,32200.0,1630.0,34475.0,21293.0,13.0,11707.0,11667.0,12506.0,1171.0,125329.0,4475.0,12769.0,1182.03309693
